Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"06037236203","Census Tract 2362.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236203",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236203","Census Tract 2362.03",,,,3615,359,250,387,83,227,727,477,368,291,394,42,10,9.93,6.92,10.71,2.3,6.28,20.11,13.2,10.18,8.05,10.9,1.16,0.28
"06037236204","Census Tract 2362.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236204",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236204","Census Tract 2362.04",,,,3387,346,215,151,135,456,444,518,357,453,177,105,30,10.22,6.35,4.46,3.99,13.46,13.11,15.29,10.54,13.37,5.23,3.1,0.89
"06037236205","Census Tract 2362.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236205",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236205","Census Tract 2362.05",,,,3070,267,336,154,82,254,683,282,342,324,176,91,79,8.7,10.94,5.02,2.67,8.27,22.25,9.19,11.14,10.55,5.73,2.96,2.57
"06037236206","Census Tract 2362.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236206",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236206","Census Tract 2362.06",,,,3175,174,139,131,16,210,863,99,503,598,225,143,74,5.48,4.38,4.13,0.5,6.61,27.18,3.12,15.84,18.83,7.09,4.5,2.33
"06037236400","Census Tract 2364, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236400","Census Tract 2364",,,,4390,233,312,209,159,133,631,618,772,563,380,282,98,5.31,7.11,4.76,3.62,3.03,14.37,14.08,17.59,12.82,8.66,6.42,2.23
"06037237101","Census Tract 2371.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237101","Census Tract 2371.01",,,,4136,375,496,396,152,421,589,628,461,305,256,43,14,9.07,11.99,9.57,3.68,10.18,14.24,15.18,11.15,7.37,6.19,1.04,0.34
"06037237102","Census Tract 2371.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237102","Census Tract 2371.02",,,,3970,350,438,360,301,489,389,444,514,336,184,79,86,8.82,11.03,9.07,7.58,12.32,9.8,11.18,12.95,8.46,4.63,1.99,2.17
"06037237201","Census Tract 2372.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237201","Census Tract 2372.01",,,,3766,206,262,227,172,419,635,539,538,428,219,108,13,5.47,6.96,6.03,4.57,11.13,16.86,14.31,14.29,11.36,5.82,2.87,0.35
"06037237202","Census Tract 2372.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237202","Census Tract 2372.02",,,,4404,207,467,296,303,226,851,567,362,721,292,49,63,4.7,10.6,6.72,6.88,5.13,19.32,12.87,8.22,16.37,6.63,1.11,1.43
"06037237300","Census Tract 2373, Los Angeles County, California","ca","140","00",,,,"06","037",,,"237300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037237300","Census Tract 2373",,,,5762,169,216,501,405,424,819,918,803,738,586,136,47,2.93,3.75,8.69,7.03,7.36,14.21,15.93,13.94,12.81,10.17,2.36,0.82
